source,target
1437174912867766277,1437140049498345472
1437174908534935553,1437148147697045510
1437174902256070657,1270368864640077826
1437174901627043842,1437142415798898695
1437174899986944005,1437170171496570882
1437174896329691149,1437144362614407177
1437174895415214082,1437072803820232708
1437174886233874434,1437073241697361922
1437174881771159557,1437073241697361922
1437174876171866118,1436973290996776962
1437174875009998852,1437174781065973763
1437174873663627270,1436995860303384580
1437174871918710786,1437072803820232708
1437174870186463232,1437110038439546891
1437174866688544773,1437159409403273220
1437174858236846082,1437073241697361922
1437174857679228929,1436100058240503811
1437174849118507008,1437047494622564353
1437174848959229955,1437174781065973763
1437174847830908929,1437174484126085123
1437174842801934337,1436912378478686210
1437174841082269698,1437137019919114244
1437174839710674944,1437072803820232708
1437174835881332739,1436972915602362371
1437174831703810053,1437070310319214596
1437174830290415619,1436972915602362371
1437174823277498382,1437158843990093835
1437174819095605249,1437174478446923786
1437174817002856448,1437162400441061386
1437174816113676288,1437138505604423689
1437174811604791298,1437047031416119301
1437174810493194246,1436810986321846277
1437174806537965572,1436884710785912833
1437174803639775232,1437164673317720065
1437174797239263236,1437110038439546891
1437174796891086861,1436971879244382210
1437174787709804545,1437140049498345472
1437174787680440322,1437147104560959489
1437174787680387078,1437146081679364099
1437174786245988359,1436995860303384580
1437174785067429889,1436810823880617984
1437174784530554880,1437174572164554760
1437174783041490945,1437170171496570882
1437174782479507457,1437173526449082370
1437174779673333761,1437072803820232708
1437174760102940676,1436171597027504129
1437174750393118720,1437134904656007170
1437174749159956481,1436836064774209536
1437174741614297092,1437073241697361922
1437174741387956228,1437149882133979145
1437174735054548998,1437112174116225024
1437174726707662849,1437073241697361922
1437174725260849155,1437072803820232708
1437174722689740805,1437072803820232708
1437174716817678336,1437147104560959489
1437174716494712834,1436758831963377664
1437174710962434051,1436884710785912833
1437174702225584130,1437174213190762501
1437174700132679688,1437148758635171840
1437174700132679683,1437138505604423689
1437174699532767232,1437073241697361922
1437174698320797697,1437105379264155650
1437174697989394437,1437173526449082370
1437174697226117122,1437173526449082370
1437174696878002179,1436883039360008203
1437174695443451906,1437148147697045510
1437174690963931138,1437098549569802249
1437174684928253952,1437110038439546891
1437174670856314880,1437157343108665355
1437174669791178762,1437124174292660232
1437174667651993602,1437000319448330243
1437174662497177606,1437138505604423689
1437174660437786627,1437057096516780035
1437174654657961986,1436884710785912833
1437174653164744707,1437170171496570882
1437174650828644356,1437158821479211012
1437174647896907782,1437170171496570882
1437174643534745601,1436825813362561024
1437174631304245252,1437000319448330243
1437174626157793283,1436995860303384580
1437174615231455239,1435970270393741312
1437174613964902406,1437111677649051649
1437174611695730692,1437040896739094529
1437174607451201537,1437072803820232708
1437174598924058624,1437022206530293764
1437174598596972550,1436171597027504129
1437174588052488195,1437173884915228686
1437174587339460612,1437023224563441665
1437174575758983169,1437113971752980481
1437174572378378241,1437173526449082370
1437174558004371459,1437165017267322885
1437174556708388866,1437165396495421443
1437174552635846658,1437043515066888197
1437174549062291456,1436991044386758663
1437174548613500932,1437164673317720065
1437174541894160387,1436171597027504129
1437174529600770048,1437171982483795971
1437174523191779333,1436171597027504129
1437174520943497219,1437110038439546891
1437174520930988039,1436716027996426249
1437174519282774016,1437000319448330243
1437174518154473475,1437173989454065665
1437174516006801409,1437167908506017798
1437174513704255491,1437072803820232708
1437174492258783234,1437149882133979145
1437174485669584898,1437072803820232708
1437174479965282307,1370476284162232327
1437174476752314368,1437092582903869444
1437174475838029827,1437072803820232708
1437174473132847104,1437174147956854784
1437174471064969225,1437173536376954881
1437174469106221068,1437073241697361922
1437174468430942213,1437040896739094529
1437174468330229761,1409314470426521601
1437174461644558337,1437143976847478785
1437174458574323714,1437147104560959489
1437174453566427136,1437130655385673730
1437174448772108291,1437147910630612994
1437174448273203201,1437149882133979145
1437174441763606534,1436813200570388482
1437174439641186306,1437138953581305863
1437174437250490373,1437172784774492169
1437174431156252679,1437072803820232708
1437174430988476417,1437000319448330243
1437174429042229251,1437085646372290567
1437174428610215936,1349776785676840966
1437174425032568835,1436991044386758663
1437174421308035078,1437070772938448896
1437174416270495744,1437148182916517892
1437174404870549508,1436999101082652674
1437174398188916737,1437149643633217537
1437174391243223046,1436995860303384580
1437174389494190087,1437000319448330243
1437174385190842376,1437137019919114244
1437174374579294208,1437072803820232708
1437174373266378753,1437146081679364099
1437174373190979586,1437173961880752129
1437174372872036352,1437072803820232708
1437174369638395905,1437056523616899073
1437174351971774466,1437040896739094529
1437174349816123400,1437036068289880064
1437174346636800003,1436592211328708609
1437174345596551170,1437091293872668677
1437174340764770314,1437073241697361922
1437174332036419586,1437042029733761033
1437174330174148617,1437072803820232708
1437174324553818118,1436812243069329408
1437174322733277188,1436857860919492608
1437174321542217730,1437156885636001797
1437174317901561858,1437136332460072961
1437174309605289986,1437140049498345472
1437174304274255875,1437166030988718080
1437174296250654720,1437157343108665355
1437174284204527626,1437170171496570882
1437174282728050692,1437072222166732802
1437174262478032899,1437170171496570882
1437174247454031873,1437170171496570882
1437174234585894912,1437073241697361922
1437174212376940550,1437072803820232708
1437174210686816264,1437047494622564353
1437174204869316612,1437173526449082370
